cisp|unidade_territorial|municipio|regiao_de_governo
128|Rio das Ostras|Rio das Ostras|Baixadas Litorâneas
130|Centro; UB-S; Rodagem; Carapebus e Praia de Carapebus|Carapebus|Norte Fluminense
135|Itaocara; Portela; Batatal; Laranjais; Jaguarembe e Estrada Nova|Itaocara|Noroeste Fluminense
136|Aperibé|Aperibé|Noroeste Fluminense
137|Miracema; Venda das Flores e Paraíso do Tobias|Miracema|Noroeste Fluminense
142|Cambuci; Três Irmãos; Funil; Monte Verde e São João do Paraíso|Cambuci|Noroeste Fluminense
155|São Sebastião do Alto; Valão do Barro e Ipituna|São Sebastião do Alto|Serrana
151|Nova Friburgo; São Pedro da Serra; Lumiar; Amparo; Riograndina; Conselheiro Paulino e Campo do Coelho|Nova Friburgo|Serrana
152|Duas Barras e Monnerat|Duas Barras|Serrana
153|Cantagalo; Santa Rita da Floresta; Boa Sorte; Euclidelândia e São Sebastião do Paraíba|Cantagalo|Serrana
154|Cordeiro|Cordeiro|Serrana
156|Santa Maria Madalena; Doutor Loreti; Renascença; Santo Antônio do Imbé; Sossego e Triunfo|Santa Maria Madalena|Serrana
157|Trajano de Moraes; Doutor Elias; Sodrelândia; Vila da Grama e Visconde de Imbé|Trajano de Moraes|Serrana
158|Bom Jardim; Banquete; Barra Alegre e São José do Ribeirão|Bom Jardim|Serrana
105|Petrópolis e Cascatinha|Petrópolis|Metropolitana
106|Itaipava; Pedro do Rio e Posse|Petrópolis|Metropolitana
104|São José do Vale do Rio Preto|São José do Vale do Rio Preto|Serrana
110|Teresópolis; Vale do Bonsucesso e Vale do Paquequer|Teresópolis|Serrana
111|Sumidouro|Sumidouro|Serrana
112|Carmo; Córrego da Prata e Porto Velho do Cunha|Carmo|Serrana
107|Paraíba do Sul; Werneck; Salutaris e Inconfidência|Paraíba do Sul|Centro-Sul Fluminense
108|Areal|Areal|Centro-Sul Fluminense
109|Sapucaia; Anta; Pião; Nossa Senhora Aparecida e Jamapara|Sapucaia|Centro-Sul Fluminense
